time_s,latitude,longitude,altitude_m,pitch_deg,speed,torque
1746528428.955095,0.0,0.0,0.0,-0.25675145117416914,0.0,0.4
1746528429.1977746,0.0,0.0,0.0,-0.25705695782437243,0.0,0.4
1746528429.4638963,0.0,0.0,0.0,-0.2562039367734882,0.0,0.4
1746528429.7047756,0.0,0.0,0.0,-0.25367689293170753,0.0,0.4
1746528429.9541392,0.0,0.0,0.0,-0.24913217209034094,0.0,0.4
1746528430.1910548,0.0,0.0,0.0,-0.24482497952046706,0.0,0.4
1746528430.4667602,0.0,0.0,0.0,-0.23963415844819216,0.0,0.4
1746528430.704413,0.0,0.0,0.0,-0.23525521397718885,0.0,0.4
1746528430.9549658,0.0,0.0,0.0,-0.230975959233869,0.0,0.4
1746528431.2003112,0.0,0.0,0.0,-0.22765465280678673,0.0,0.4
1746528431.4645586,0.0,0.0,0.0,-0.22509210285822104,0.0,0.4
1746528431.7062418,0.0,0.0,0.0,-0.2223999961027141,0.0,0.4
1746528431.958793,0.0,0.0,0.0,-0.21942592617209106,0.0,0.4
1746528432.1947834,0.0,0.0,0.0,-0.21725144743160268,0.0,0.4
1746528432.466675,0.0,0.0,0.0,-0.21601670470797069,0.0,0.4
1746528432.705714,0.0,0.0,0.0,-0.21554909439670747,0.0,0.4
1746528432.9544587,0.0,0.0,0.0,-0.21632715261258037,0.0,0.4
1746528433.1939986,0.0,0.0,0.0,-0.21795896752445776,0.0,0.4
1746528433.466904,0.0,0.0,0.0,-0.22056805267436266,0.0,0.4
1746528433.7055964,0.0,0.0,0.0,-0.22272497898180105,0.0,0.4
1746528433.954808,0.0,0.0,0.0,-0.22294006799337968,0.0,0.4
1746528434.198177,0.0,0.0,0.0,-0.22352243860411564,0.0,0.4
1746528434.4635289,0.0,0.0,0.0,-0.22399594628499186,0.0,0.4
1746528434.704694,0.0,0.0,0.0,-0.22454324140434542,0.0,0.4
1746528434.9542537,0.0,0.0,0.0,-0.22607236836365102,0.0,0.4
1746528435.1978369,0.0,0.0,0.0,-0.22956022138019475,0.0,0.4
1746528435.4651697,0.0,0.0,0.0,-0.23220963154805685,0.0,0.4
1746528435.7055552,0.0,0.0,0.0,-0.23509217064549173,0.0,0.4
1746528435.9547744,0.0,0.0,0.0,-0.2387221320459441,0.0,0.4
1746528436.196647,0.0,0.0,0.0,-0.24149204749260905,0.0,0.4
1746528436.4652834,0.0,0.0,0.0,-0.24446243182220678,0.0,0.4
1746528436.705284,0.0,0.0,0.0,-0.24752546697252878,0.0,0.4
1746528436.9541621,0.0,0.0,0.0,-0.250904912649486,0.0,0.4
1746528437.1926029,0.0,0.0,0.0,-0.25432818988066785,0.0,0.4
1746528437.4661903,0.0,0.0,0.0,-0.2576294203930927,0.0,0.4
1746528437.7060966,0.0,0.0,0.0,-0.25997895383839376,0.0,0.4
1746528437.9547942,0.0,0.0,0.0,-0.2622699092366107,0.0,0.4
1746528438.1927326,0.0,0.0,0.0,-0.2642529495366851,0.0,0.4
1746528438.4674227,0.0,0.0,0.0,-0.2653617325292136,0.0,0.4
1746528438.7048125,0.0,0.0,0.0,-0.2659485357781219,0.0,0.4
1746528438.9543033,0.0,0.0,0.0,-0.26528776781477065,0.0,0.4
1746528439.194748,0.0,0.0,0.0,-0.265881540144069,0.0,0.4
1746528439.4652023,0.0,0.0,0.0,-0.2675104001349869,0.0,0.4
1746528439.7051487,0.0,0.0,0.0,-0.2691366312775766,0.0,0.4
1746528439.9553287,0.0,0.0,0.0,-0.27106953344063534,0.0,0.4
1746528440.1991513,0.0,0.0,0.0,-0.27467842679161486,0.0,0.4
1746528440.4663014,0.0,0.0,0.0,-0.27803354647868794,0.0,0.4
1746528440.7092385,0.0,0.0,0.0,-0.2818596763269587,0.0,0.4
1746528440.95456,0.0,0.0,0.0,-0.2848560624981903,0.0,0.4
1746528441.1957664,0.0,0.0,0.0,-0.2870601283909755,0.0,0.4
1746528441.4628115,0.0,0.0,0.0,-0.28882164062614785,0.0,0.4
1746528441.705346,0.0,0.0,0.0,-0.2908212032785082,0.0,0.4
1746528441.9579024,0.0,0.0,0.0,-0.28987461722559926,0.0,0.4
1746528442.1924527,0.0,0.0,0.0,-0.28878322314006455,0.0,0.4
1746528442.4652445,0.0,0.0,0.0,-0.28791390099623915,0.0,0.4
1746528442.7043965,0.0,0.0,0.0,-0.28829658316106943,0.0,0.4
1746528442.9549181,0.0,0.0,0.0,-0.28712305374477165,0.0,0.4
1746528443.1958346,0.0,0.0,0.0,-0.28817574026472054,0.0,0.4
1746528443.4671795,0.0,0.0,0.0,-0.2897364324551644,0.0,0.4
1746528443.7064002,0.0,0.0,0.0,-0.29285511205267556,0.0,0.4
1746528443.9563997,0.0,0.0,0.0,-0.2932193234482644,0.0,0.4
1746528444.1926665,0.0,0.0,0.0,-0.29428015170704097,0.0,0.4
1746528444.4659948,0.0,0.0,0.0,-0.2953273552321575,0.0,0.4
1746528444.7056801,0.0,0.0,0.0,-0.29512289277732107,0.0,0.4
1746528444.9578722,0.0,0.0,0.0,-0.2946581830155954,0.0,0.4
1746528445.1964974,0.0,0.0,0.0,-0.2957334403178472,0.0,0.4
1746528445.464719,0.0,0.0,0.0,-0.2962618140288023,0.0,0.4
1746528445.705199,0.0,0.0,0.0,-0.2959397911428453,0.0,0.4
1746528445.9540544,0.0,0.0,0.0,-0.2973367128193757,0.0,0.4
1746528446.192657,0.0,0.0,0.0,-0.29674968818405306,0.0,0.4
1746528446.4676862,0.0,0.0,0.0,-0.2962799436188997,0.0,0.4
1746528446.7051704,0.0,0.0,0.0,-0.29639513703322035,0.0,0.4
1746528446.9546473,0.0,0.0,0.0,-0.2974036745745443,0.0,0.4
1746528447.196155,0.0,0.0,0.0,-0.2981931499795003,0.0,0.4
1746528447.4628112,0.0,0.0,0.0,-0.3008850504299665,0.0,0.4
1746528447.7068634,0.0,0.0,0.0,-0.3032749653617238,0.0,0.4
1746528447.9548085,0.0,0.0,0.0,-0.306630750744749,0.0,0.4
1746528448.1923518,0.0,0.0,0.0,-0.308134674496592,0.0,0.4
1746528448.4667568,0.0,0.0,0.0,-0.3106428372004986,0.0,0.4
1746528448.7053745,0.0,0.0,0.0,-0.3129912321306979,0.0,0.4
